name,address,city,state,zip_code,year_founded,description,cuisine,foodway,is_shutdown,year_shutdown,source_link,website_link,source_book
Second Empire,330 Hillsborough St,Raleigh,NC,27603,1997,See also Dodd-Hinsdale House,American ,,0,,https://www.nps.gov/nr/travel/raleigh/dod.htm | https://www.second-empire.com/the-restaurant/,,
Dodd-Hinsdale House,330 Hillsborough St,Raleigh,NC,27603,1879,"Original home to a Raleigh Mayor, built in 1879.  Houses the Second Empire Restaurant, which opened in 1997. ",American ,,0,,https://www.nps.gov/nr/travel/raleigh/dod.htm,,
Mama Dip's,408 West Rosemary Street,Chapel Hill,NC,27516,1976,"""Mama Dip’s Kitchen is a full service traditional southern restaurant serving breakfast, lunch, and dinner since 1976""",Southern | Country ,,0,,http://www.wikidata.org/entity/Q674527  | https://mamadips.com/about/,https://mamadips.com/about/,
Swain Hall,101 E. Cameron Ave,Chapel Hill,NC,27514,1913,"Swain Hall was initiatlly established as a dining hall to fit 600-900 people. When Lenior Hall was built in 1940, the university decided to convert Swain Hall into an office building for the University’s Extension Division, the Communication Center, and the Photography Library. Now, it hosts the Communication, English and Comparative Literature departments.",Cafeteria,,1,1946,https://unchistory.web.unc.edu/building-narratives/swain-hall/,,
Commons Hall,East Cameron Ave,Chapel Hill,NC,27514,1896,"Commons Hall was located between Phillips Hall and Peabody Hall. Succeeding Steward's Hall, the university's first dining hall, the building was a gymnasium until 1896 when it was converted to a cafeteria. The food was infamous for its poor quality, with tensions rising to a student revolt in 1899.",Cafeteria,,1,1914,https://amst276.web.unc.edu/food-and-social-reform-in-the-progressive-era/waiters-at-commons-hall-circa-1890s-1920s/#footnote,,
Gooch's Café,North Columbia Street,Chapel Hill,NC,27514,1903,"Was located next to the Old Bus Station on Columbia Street in the vicinity of today's Buns. Often referred to as “Carolina’s Night Time Playground,” Gooch’s Café 
stayed open every night until 2:00 A.M. and was a popular place for students
 to eat and spend time together.",,,1,late 1950s,https://chapelhillmagazine.com/diane-gooch-shaw/,,
Pyewacket,431 West Franklin Street,Chapel Hill,NC,27514,1977,Pyewacket was one of the first vegetarian restaurants to open in the Chapel Hill area. Now the location of Kipos Greek Traverna. The restaurant had a greenhouse dining room which overlooked a courtyard.,Vegetarian,,1,2002,https://amst276.web.unc.edu/86-2/1498-2/,,
Carolina Coffee Shop,138 East Franklin Street,Chapel Hill,NC,27514,1922,The oldest continually running restaurant in the state.,,,0,,https://amst276.web.unc.edu/from-prohibition-to-the-great-depression/carolina-coffee-shop-menu/,https://www.carolinacoffeeshop.com/,
The River Forest Manor,600 East Main Street,Belhaven ,NC,27810,1947,"Initially built as a lavish residence (completed 1904), the manor was eventually turned into a restaurant in 1947, which became wildly popular. In 2014, it became a wedding and event venue, complete with 13 fully-restored guest rooms. ",southern | seafood,,1,2011,,riverforestmanor.com,"North Carolina's HISTORIC RESTAURANTS and their recipes, Dawn O'Brien, 1983"
Clawson's 1905 Restaurant & Pub,425 Front Street,Beaufort,NC,28516,1905,"This historic eatery has been through many changes in the 116 years since its founding. It was initially a grocery store and bakery, and according to their website it may be the oldest building in Beaufort. The Great Depression led to the grocery closing in 1934. The building then hosted shops for a few decades, and was sold to the Rogers in 1977, who turned it back into a restaurant. It changed hands to the McCunes in 1985, was rennovated in 1990, and expanded in 1996. ",American | seafood,,0,,,clawsonsrestaurant.com,"North Carolina's HISTORIC RESTAURANTS and their recipes, Dawn O'Brien, 1983"
