id,label,alternate_label,wikidata_id,loc_id,worldcat_id,viaf_id,description,feature_type,county,coordinates,creator,contributor,source
NCG00082,Ahoskie,Auhotsky|Ahotskey,"https://www.wikidata.org/wiki/Q370172
",http://id.loc.gov/authorities/names/n82079182,http://id.worldcat.org/fast/1220363,http://viaf.org/viaf/sourceID/LC%7Cn++82079182#skos:Concept,"town in S Hertford County. Post office as early as 1828 named Ahosky Ridge. Inc. 1893. Name of Indian origin, spelled Ahostsky and Ahostskey as early as 1719. Produces apparel, lumber, and wooden containers. Alt. 59. It is thought that the Wyanoke Indians had a village named Auhotsky which is believed to give its name to the creek and town of Ahoskie.",nct:Town,Hertford County,,William Powell,Griffin Powell,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Ahoskie Swamp,Ahotskey Swamp,https://www.wikidata.org/wiki/Q32825823,,,,"rises in S Hertford County and flows SE and NE into Bear Swamp. Appears as Ahotskey Swamp on the Collet map, 1770.",nct:Swamp,Hertford County ,,William Powell,Griffin Powell,
,Andrews Mound,,,,,,"Mississippian earthen platform mound on east bank Valley River in present-day Andrews, NE Cherokee County. Townhouse site for historic Cherokee town of Konehete. An inn was erected on top of the mound in the early 19th century, and the mound itself was completely destroyed in 1975.",nct:NativeAmericanSettlement,Cherokee County,,Corinne Foster,,"Steere, “Revisiting Platform Mounds and Townhouses in the Cherokee Heartland"""
,Antioch Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Antioch Missionary Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Aquonatuste,Aquonastsustee|Aequonutuste,,,,,"historic Cherokee Valley town on Hiwassee River, E Cherokee County. Destroyed by Griffith Rutherford’s army in the Cherokee War of 1776. Later became site of Valleytowns Baptist Mission (1821-1836), which operated a boarding school and model farm for Cherokee students.",nct:NativeAmericanSettlement,Cherokee County,"35.06502412046356, -83.94130532125969",Corinne Foster,,"Goodwin, Cherokees in Transition; Dean, The Cherokee War of 1776; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
NCG00286,Aquone,,https://www.wikidata.org/wiki/Q15185213,,,,"community in W Macon County on Nantahala River. Alt. 2,950. Settled on the site of Fort Scott (now beneath Nantahala Lake), one of the stockades where Cherokees were housed before being removed to Oklahoma, 1838. Name believed to be a corruption of egwanul'ti (by the river).",nct:Community,Macon County,"35.207222, -83.627222",William Powell,Corinne Foster,"Mooney, Myths of the Cherokee"
,Ashpole,Fairmont,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1|https://fairmontnchistory.com/history/43-the-ashpole-area-in-the-1700-s"
,Ashpole Center United Methodist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Back Swamp Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Back Swamp Church,,,,,,"place of worship located in Lumbee community of Back Swamp, in Robeson County.",nct:PlaceOfWorship,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
NCG00480,Back Swamp Township,,https://www.wikidata.org/wiki/Q6027088,,,,Lumbee community in central Robeson County.,nct:Township,Robeson County,,William Powell,Kaylin Blount,"Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press.|Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
