gazetteer_id,object_id,ein,wikidata_id,name,street,city,state,zip,affiliation,ruling,loc_name,geocoded_status,match_addr,addr_type,addnum,side,stpredir,stpretype,stname,sttype,staddr,city_2,county,postal,x,y,arc_address,arc_city,arc_postal,winter_address,religion,desc,website,phone
,35758,204381243,,320,3401 BROUGHTON DR,DURHAM,NC,27704,3,200707,POINTADDRESS,M,"3401 BROUGHTON DR, DURHAM, NORTH CAROLINA, 27704",POINTADDRESS,3401,L,NOT AVAILABLE,NOT AVAILABLE,BROUGHTON,DR,3401 BROUGHTON DR,DURHAM,DURHAM,27704,-78.802246,36.051885,3401 BROUGHTON DR,DURHAM,27704,,,,,
,113630,640962994,,110 CENTER,303 VINTAGE HILL CIR,APEX,NC,27539,3,200906,POINTADDRESS,M,"303 VINTAGE HILL CIR, APEX, NORTH CAROLINA, 27539",POINTADDRESS,303,L,NOT AVAILABLE,NOT AVAILABLE,VINTAGE HILL,CIR,303 VINTAGE HILL CIR,APEX,WAKE,27539,-78.778485,35.695235,303 VINTAGE HILL CIR,APEX,27539,,,,,
,105328,562118578,,121 INC,PO BOX 26,WALLBURG,NC,27373,3,201406,POSTAL,M,"27373, WALLBURG, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,WALLBURG,NOT AVAILABLE,27373,-80.137273,36.009231,PO BOX 26,WALLBURG,27373,,,,,
,102139,550851180,,1HOPE ASSEMBLY OF GOD,1922 HENLEY RD,SANFORD,NC,27330,9,196408,POINTADDRESS,M,"1922 HENLEY RD, SANFORD, NORTH CAROLINA, 27330",POINTADDRESS,1922,L,NOT AVAILABLE,NOT AVAILABLE,HENLEY,RD,1922 HENLEY RD,SANFORD,LEE,27330,-79.256908,35.440967,1922 HENLEY RD,SANFORD,27330,,,,,
,104610,561873061,,1ST NATIONAL ROCK OF AGES CATHEDRAL INC,PO BOX 6997,ROCKY MOUNT,NC,27802,3,200307,POSTAL,M,"27802, ROCKY MOUNT, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,ROCKY MOUNT,NOT AVAILABLE,27802,-77.781242,35.942851,PO BOX 6997,ROCKY MOUNT,27802,,,,,
,116118,810745154,,222 INTERNATIONAL,9801 DURANT RD,RALEIGH,NC,27614,3,201605,POINTADDRESS,M,"9801 DURANT RD, RALEIGH, NORTH CAROLINA, 27614",POINTADDRESS,9801,L,NOT AVAILABLE,NOT AVAILABLE,DURANT,RD,9801 DURANT RD,RALEIGH,WAKE,27614,-78.577952,35.900575,9801 DURANT RD,RALEIGH,27614,,,,,
,111172,582526882,,4 OUTDOORSMEN MINISTRIES,800 FAIRVIEW RD,ASHEVILLE,NC,28803,3,200012,POINTADDRESS,M,"800 FAIRVIEW RD, ASHEVILLE, NORTH CAROLINA, 28803",POINTADDRESS,800,R,NOT AVAILABLE,NOT AVAILABLE,FAIRVIEW,RD,800 FAIRVIEW RD,ASHEVILLE,BUNCOMBE,28803,-82.50635,35.570462,800 FAIRVIEW RD,ASHEVILLE,28803,,,,,
,87341,460962106,,4GIVEN AND FREE MINISTRY,6242 RUFFIN LN,CONOVER,NC,28613,9,199112,POINTADDRESS,M,"6242 RUFFIN LN, CONOVER, NORTH CAROLINA, 28613",POINTADDRESS,6242,R,NOT AVAILABLE,NOT AVAILABLE,RUFFIN,LN,6242 RUFFIN LN,CONOVER,CATAWBA,28613,-81.224138,35.805362,6242 RUFFIN LN,CONOVER,28613,,,,,
,33907,200637923,,70X7 MINISTRIES,6604 SIX FORKS ROAD,RALEIGH,NC,27615,3,200501,POINTADDRESS,M,"6604 SIX FORKS RD, RALEIGH, NORTH CAROLINA, 27615",POINTADDRESS,6604,R,NOT AVAILABLE,NOT AVAILABLE,SIX FORKS,RD,6604 SIX FORKS RD,RALEIGH,WAKE,27615,-78.639489,35.869071,6604 SIX FORKS ROAD,RALEIGH,27615,,,,,
,88100,462501395,,902 CHURCH,2009 CAREY RD,KINSTON,NC,28501,3,201311,POINTADDRESS,M,"2009 CAREY RD, KINSTON, NORTH CAROLINA, 28501",POINTADDRESS,2009,R,NOT AVAILABLE,NOT AVAILABLE,CAREY,RD,2009 CAREY RD,KINSTON,LENOIR,28501,-77.59327,35.284942,2009 CAREY RD,KINSTON,28501,,,,,
