id,label,description
NCG00001,"""Unorganized Territory,""","former designation for most of the area formerly in Mattamuskeet Township, central Hyde County. Owned by the federal government and used as a fish and wildlife reservation. Residents vote and list taxes in Lake Landing Township."
NCG00002,30 Mile Post,"marked corner on the North Carolina-Georgia state line, SE Clay County 30 mi. W of Ellicott Rock, which see. Survey completed to the corner in 1819. There the state line turns due S for 1,983 ft. to Montgomery Corner, which see."
NCG00003,Añadales Chase,"an otherwise unidentified designation appearing on the Smith map, 1624, shown between what is now Tar and Roanoke Rivers, NW of the head of Pungo River, probably in what is now N Pitt and Martin Counties."
NCG00004,Aaron,See Hood Swamp.
NCG00005,Aaron Branch,rises in N Mitchell County and flows SE into Bean Creek.
NCG00006,Aaron Creek,rises in NE Cherokee County and flows NW into Taylor Creek.
NCG00007,Aaron Duff,See Iron Duff.
NCG00008,Aaron Swamp,rises in W Robeson County and flows S into Ashpole Swamp.
NCG00009,Aarons Corner,community in N Stokes County. Named for a church.
NCG00010,Aarons Creek,"rises in NW Granville County and flows NE into Virginia, where it enters Dan River."
NCG00011,Abbot Top,mountain in central Cherokee County between Hiwassee River and West Prong Grape Creek.
NCG00012,Abbots Island,See Croatoan Island.
NCG00013,Abbott's Creek,rises in N Wake County and flows NE into Neuse River.
NCG00014,Abbotts Creek,"rises in NE Davidson County and flows SW into Yadkin River. Appears as Abbots Creek on the Collet map, 1770."
NCG00015,Abbotts Creek Township,SE Forsyth County.
NCG00016,Abbotts Township,SW Bladen County.
NCG00017,Abbottsburg,"town in SW Bladen County. Inc. 1903. Alt. approx. 99. Named for Joseph C. Abbott (1825-81), president of the Cape Fear Building Company there."
NCG00018,Abbs Creek,rises in N Jackson County and flows S into Caney Fork.
NCG00019,Abe Creek,rises in S Macon County and flows SE into West Fork Overflow Creek.
NCG00020,Abel Bay,SW Hyde County in the mouth of Pungo River.
NCG00021,Abel's Creek,rises in North River Pocosin in S Camden County and flows E into North River.
NCG00022,Abells,"community in NE Johnston County served by post office, 1880-1900."
NCG00023,Aberdeen,"town in S Moore County. Inc. 1893. Known originally as Blue's Crossing after settler Malcolm Blue. Renamed in 1887 by resident John Graham, who had formerly lived in Aberdeen, Miss., which in turn was named for the seaport in Scotland. Economy caters to golf and tourist industry and area military bases. Produces carpets, hosiery, textiles, furniture, and canned foods. Alt. 339."
NCG00024,Aberdeen Creek,rises in S Moore County and flows SW into Lumber River. Known as Devil's Gut Creek or Devils Creek until early in the twentieth century.
NCG00025,Aberly,community in E Onslow County.
NCG00026,Abernethy,community in W Iredell County.
NCG00027,Abernethy Creek,rises in SW Gaston County and flows NE and SE in an arc into Crowders Creek.
NCG00028,Abes Mountain,SW Cleveland County near Broad River. Alt. 950.
NCG00029,Abi,"community in central Stanly County served by post office, 1894-1907."
NCG00030,Abier Creek,rises in SE Burke County and flows N into Henry Fork.
NCG00031,Abigails Islands,"appear on the Smith map, 1624, as the cluster of islands in Pamlico Sound off S Hyde County between Rose Bay and Swanquarter Bay. Now Bell, Great, Judith, Marsh, and Swanquarter Islands, which see."
NCG00032,Abingdon Creek,"rises in SW Caldwell County and flows SE into Lower Creek. Sometimes called Greasy Creek. Originally Aventon Creek for Aventon Sherrill, early settler."
NCG00033,Abner,"community in N Montgomery County formerly known as Saunder's Hill and served by post office, 1859-98. Took Abner name in 1898. Post office by the name operated until 1953. By tradition named for local principal."
NCG00034,Abraham Bay,small bay in the mouth of Turn-again Bay in N Carteret County.
NCG00035,Abraham's Plains,"former district in NE Granville County. It had 62 heads of families in 1790 at the time of the first census. Took its name from the home, built 1766, of Col. Samuel Smith, who had fought in the battle at Abraham's Plains at Quebec, Canada."
NCG00036,Abrams Branch,rises in S Transylvania County and flows NE into French Broad River.
NCG00037,Abshers,community in N Wilkes County between Harris Creek and Middle Prong Roaring River.
NCG00038,Academy Crossroads,See Nahunta.
NCG00039,Acconeechy,See Hillsborough.
NCG00040,Ace Enloe Ridge,"NE Swain County in Great Smoky Mountains National Park, a short spur of Hughes Ridge."
NCG00041,Acme,"town in NE Columbus County on Livingston Creek. Known originally as Livingston for the creek. Inc. 1905 as Cronly and named for local landowner; name changed to Acme in 1911 for Acme Manufacturing Company, producer of fertilizer. Produces fertilizer and paper. Alt. 37."
NCG00042,Acorn,community on Jones Pond E Gates County. Sometimes also known as Acorn Hill.
NCG00043,Acorn Hill,See Acorn.
NCG00044,Acre,"community in N central Beaufort County. Long Acre appears on the Collet map, 1770, as a ridge in the Dismal Swamp of NE Beaufort and S Washington Counties. It supported a post road from Plymouth to Bath. It is called Long Acre on various maps until Kerr, 1882, where it is marked ""Long Acre Ridge."" Long Acre community grew up at the S end of the ridge, and a post office there from 1883 to 1907 was called Acresville. By 1917 it was called Acre from the railroad name, and the ridge was no longer recorded on maps. Alt. 32."
NCG00045,Acresville,See Acre.
NCG00046,Acton,"community between Enka and Sulphur Springs, central Buncombe County."
NCG00047,Ad Tate Knob,on Utah Mountain in central Haywood County.
NCG00048,Adair,community in N Gates County.
NCG00049,Adake,community in W Caldwell County on Wilsons Creek.
NCG00050,Adam's Store,"community in NW Mecklenburg County served by post office, 1852-55."
NCG00051,Adams,community in central Watauga County.
NCG00052,Adams Branch,rises in N Cleveland County and flows SE into Knob Creek.
NCG00053,Adams Creek,rises in E Swain County and flows S between Cooper Creek and Owl Branch into Oconaluftee River.
NCG00054,Adams Crossroads,community in W Wake County between Brier Creek and Sycamore Creek.
NCG00055,Adams Hollow,in NW Swain County extends S on a tributary of Ekaneetlee Creek to Grill Cove.
NCG00056,Adams Mountain,"W Caldwell County. Alt. 1,500."
NCG00057,Adams Point,"point of land in E Beaufort County on Pamlico River near the mouth of Pungo River. Appears on the Moseley map, 1733."
NCG00058,Adams Run,community in E Henderson County on Big Hungry Creek.
NCG00059,Adams Store,See Adamsville.
NCG00060,Adamsville,former community in central Wayne County on the E edge of Goldsboro. At one time known as Adams Store. Now within the corporate limits of Goldsboro.
NCG00061,Adcock Creek,rises in S Granville County E of Stem and flows E into Tar River. Named for Adcock family.
NCG00062,Addie,"community in N Jackson County, on Scotts Creek. Located about 3 mi. NE of town of Sylva. Alt. 2,249."
NCG00063,Addor,"town in S Moore County. Inc. 1881 as Keyser; named for an officer of the Raleigh and Augusta Airline Railroad. During World War I, the name became unpopular because of the similarity to ""Kaiser."" Name changed in October 1918 to Addor in honor of Felix Addor, local resident, who had been killed on the troopship SS Leviathan in March. Long inactive in municipal affairs. Served by post office, 1877-1918."
NCG00064,Adelaide,"community in S Rockingham County served by post office, 1883-1905."
NCG00065,Adkin Branch,"rises in N Lenoir County and flows SE through the city of Kinston into Neuse River. Named for Robert Atkins, who had land grants there in 1729."
NCG00066,Adkins,community in N Yancey County.
NCG00067,Adkins Branch,"rises in N Buncombe County and flows NW into Madison County, where it enters Ivy River."
NCG00068,Adkins Falls,rapids in Cape Fear River in central Harnett County E of the town of Lillington and near the confluence of Buies Creek with the river. Mentioned as early as 1819 in a survey of the rivers of North Carolina.
NCG00069,Adlai,"community in SE Union County served by post office, 1896-1900."
