id,label,feature type,general watertype,description
NCG00005,Aaron Branch,Branch,Stream,rises in N Mitchell County and flows SE into Bean Creek.
NCG00006,Aaron Creek,Creek,Stream,rises in NE Cherokee County and flows NW into Taylor Creek.
NCG00010,Aarons Creek,Creek,Stream,"rises in NW Granville County and flows NE into Virginia, where it enters Dan River."
NCG00013,Abbott's Creek,Creek,Stream,rises in N Wake County and flows NE into Neuse River.
NCG00014,Abbotts Creek,Creek,Stream,"rises in NE Davidson County and flows SW into Yadkin River. Appears as Abbots Creek on the Collet map, 1770."
NCG00018,Abbs Creek,Creek,Stream,rises in N Jackson County and flows S into Caney Fork.
NCG00019,Abe Creek,Creek,Stream,rises in S Macon County and flows SE into West Fork Overflow Creek.
NCG00021,Abel's Creek,Creek,Stream,rises in North River Pocosin in S Camden County and flows E into North River.
NCG00024,Aberdeen Creek,Creek,Stream,rises in S Moore County and flows SW into Lumber River. Known as Devil's Gut Creek or Devils Creek until early in the twentieth century.
NCG00027,Abernethy Creek,Creek,Stream,rises in SW Gaston County and flows NE and SE in an arc into Crowders Creek.
NCG00030,Abier Creek,Creek,Stream,rises in SE Burke County and flows N into Henry Fork.
NCG00032,Abingdon Creek,Creek,Stream,"rises in SW Caldwell County and flows SE into Lower Creek. Sometimes called Greasy Creek. Originally Aventon Creek for Aventon Sherrill, early settler."
NCG00036,Abrams Branch,Branch,Stream,rises in S Transylvania County and flows NE into French Broad River.
NCG00052,Adams Branch,Branch,Stream,rises in N Cleveland County and flows SE into Knob Creek.
NCG00053,Adams Creek,Creek,Stream,rises in E Swain County and flows S between Cooper Creek and Owl Branch into Oconaluftee River.
NCG00061,Adcock Creek,Creek,Stream,rises in S Granville County E of Stem and flows E into Tar River. Named for Adcock family.
NCG00065,Adkin Branch,Branch,Stream,"rises in N Lenoir County and flows SE through the city of Kinston into Neuse River. Named for Robert Atkins, who had land grants there in 1729."
NCG00067,Adkins Branch,Branch,Stream,"rises in N Buncombe County and flows NW into Madison County, where it enters Ivy River."
