id,preflabel,note,alt_name,gone,county,township,location,budget_year,rosenwald_type,type,latitude,longitude,id_code,id_source,id_url,id_photo,id2_url,id2_source,source,wikidata,needs_review,contributor
NCG16813,Acorn Hill School,"1922-1923 3-room Rosenwald School. Acorn Hill Road (SR 1513), 0.3 miles East US 258, Speed vicinity, Deep Creek, Edgecombe County. Location is approximate. No longer standing.",,TRUE,NCG04760,Deep Creek,"Acorn Hill Road (SR 1513), 0.3 miles East US 258, Speed vicinity",1922-1923,Three-teacher,School,35.97,-77.49,ED1612,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjUyMA==&school_county=Edgecombe&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16814,Adkin High School,"1928-1929 12 teacher 1-story brick Rosenwald school. On November 19, 1951, 720 students staged the Adkin High School Walkout in protest of the school board's refusal to fund building improvements and supplies. Southeast corner Clay Street & East Washington Avenue, Kinston, Lenoir County. AKA Kinston Negro High School, Lenoir Co. Training School. No longer standing.",Lenoir County Training School,TRUE,NCG08656,Kinston,Southeast corner Clay Street & East Washington Avenue,1928-1929,Twelve-teacher,School,35.25,-77.57,LR1436,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjczMg==&school_county=Lenoir&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,0000-0001-8856-1694
NCG16815,Afton School,"1922-1923 frame Rosenwald School. West side US 401, opposite Parktown Road (SR 1625), Warrenton vicinity, Sandy Creek, Warren County.",,,NCG15885,Sandy Creek,"West side US 401, opposite Parktown Road (SR 1625), Warrenton vicinity",1922-1923,Two-teacher,School,36.34,-78.22,WR0325,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MzA2OQ==&school_county=Warren&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16816,Allen Grove School (Current site),"1921-1922 frame 2-room Rosenwald School. North side NC 903, 0.25 miles East of junction with SR 1667, Halifax, Halifax County. See HX0293 for original site.",,,NCG06455,Halifax,"North side NC 903, 0.25 miles East of junction with SR 1667",1921-1922,Two-teacher,School,36.35,-77.62,HX1566,NCHPO Database,https://files.nc.gov/ncdcr/nr/HX1566.pdf,https://images.archives.ncdcr.gov/HX1566.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjYwOQ==&school_county=Halifax&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16817,Allen Grove School (Original site),"1921-1922 2-room Rosenwald School. North side NC 903, 0.05 miles West of SR 1201, Halifax, Halifax County. See also HX1566 for current site.",,,NCG06455,Halifax,"North side NC 903, 0.05 miles West of SR 1201",1921-1922,Two-teacher,School,36.3,-77.63,HX0293,NCHPO Database,https://files.nc.gov/ncdcr/nr/HX1566.pdf,https://images.archives.ncdcr.gov/HX1566.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjYwOQ==&school_county=Halifax&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16818,Alligator Schoolhouse,"1925-1926 frame 1-room Rosenwald school. South side SR 1209 East of SR 1223, Columbia vicinity, Alligator, Tyrrell County.",,,NCG15567,Alligator,"South side SR 1209 East of SR 1223, Columbia vicinity",1925-1926,One-teacher,School,35.96,-76.09,TY0115,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MzAyMA==&school_county=Tyrrell&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16819,Angier School,"1928-1929 1-story side gable 19th-20th trad/vern school. 675 Church Street, Angier, Black River, Harnett County.",,,NCG06616,Black River,"675 Church Street, Angier",1928-1929,Three-teacher,School,35.51,-78.75,HT1027,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjY1NQ==&school_county=Harnett&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16820,Apex Colored School,"1932 brick 6-room Rosenwald consolidation school. Southwest corner Tingen Road and James Street, Apex, White Oak, Wake County. Demolished in 1992.  Funding name unknown at current (2022).",Apex Consolidated High School,TRUE,NCG15782,White Oak,"Southwest corner Tingen Road and James Street, Apex",,Six-teacher,School,35.72,-78.86,WA0844,NCHPO Database,,,,,North Carolina State Historic Preservation Office,,TRUE,
NCG16821,Atkins High School,"1930-1931 3-story steel frame and brick classical revival Rosenwald funded school and library.  No Fisk file. Reported to have $50,000 Rosenwald grant.  Named for educational pioneer Dr. Simon Green Atkins. 1215 North Cameron Ave, Winston-Salem, Winston, Forsyth County.",,,NCG05432,Winston,"1215 North Cameron Ave, Winston-Salem",1930-1931,,School,36.11,-80.22,FY1295,NCHPO Database,https://files.nc.gov/ncdcr/nr/FY1295.pdf,https://images.archives.ncdcr.gov/FY1295.jpg,,,North Carolina State Historic Preservation Office,Q4815892,,0000-0001-8856-1694
NCG16822,Atkinson School,"1919-1920 3-room Rosenwald school. West Henry & North College Street, Atkinson, Caswell, Pender County. Built under C.U.B.",,,NCG11625,Caswell,"West Henry & North College Street, Atkinson",1919-1920,Three-Teacher,School,34.52879307,-78.17402905,PD0118,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9Mjg3OQ==&school_historic_name=Atkinson&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16823,Aulander School,"1922-1923 frame 1-story 2-teacher Rosenwald School. Snake Bite, Bertie County. Destroyed post-1998.",,TRUE,NCG01126,Snake Bite,,1922-1923,Two-teacher,School,36.22,-77.11,,,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjM2NQ==&school_county=Bertie&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16824,Avent School,"1923-1924 2-room 1-story frame Rosenwald school. West side of Cooper Road (SR1403), 0.8 miles south of junction with NC 43. Aventon, Griffins, Nash County.",,,NCG10643,Griffins,"West side of Cooper Road (SR1403), 0.8 miles south of junction with NC 43. Aventon",1923-1924,Two-teacher,School,36.14,-77.96,NS1099,NCHPO Database,,https://images.archives.ncdcr.gov/NS1099.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjgxMA==&school_county=Nash&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
