id,nc_school_number,district_number,district,federal_school_number,name,description,inception,wikidata_id,url,usnews_url,address,city,city_id,latitude,longitude,operational_status,type,designation,virtual_status,sbe_region,college_board_number,county,county_id,Opening In School Year,Locale Type Desc
NCG17127,10303,10,Alamance-Burlington Schools,370003002972,Alamance-Burlington Early College at ACC,Public high school located on the campus of Alamance Community College in Graham. Part of the Alamance-Burlington Schools district.,,,http://amc.abss.k12.nc.us,,1247 Jimmie Kerr Road  Graham NC 27253,Graham,NCG06046,36.0667853,-79.3575561,Open,Regular School,Public,NOTVIRTUAL,Piedmont Triad,341546,Alamance County,NCG00099,,"Rural, Fringe"
NCG17128,10311,10,Alamance-Burlington Schools,370003003171,Career and Technical Education Center,Public high school in Burlington. Part of the Alamance-Burlington Schools district.,,,https://www.abss.k12.nc.us/domain/65,,2550 Buckingham Road  Burlington NC 27217,Burlington,NCG02198,36.0923223,-79.3839517,Open,Vocational Education,Public,NOTVIRTUAL,Piedmont Triad,,Alamance County,NCG00099,2011,"Rural, Fringe"
NCG17129,10324,10,Alamance-Burlington Schools,370003000006,Eastern Alamance High School,Public high school in Mebane. Part of the Alamance-Burlington Schools district. Opened 1953.,1953,Q5329970,http://eah.abss.k12.nc.us,,4040 Mebane Rogers  Mebane NC 27302 9729,Mebane,NCG09913,36.1132255,-79.3012424,Open,Regular School,Public,NOTVIRTUAL,Piedmont Triad,342575,Alamance County,NCG00099,,"Rural, Fringe"
NCG17130,10348,10,Alamance-Burlington Schools,370003000009,Graham High School,Public high school in Graham. Part of the Alamance-Burlington Schools district.,,Q5592901,http://grh.abss.k12.nc.us/,,903 Trollinger Road  Graham NC 27253 1945,Graham,NCG06046,36.0743178,-79.3831159,Open,Regular School,Public,NOTVIRTUAL,Piedmont Triad,341560,Alamance County,NCG00099,,"Rural, Fringe"
NCG17131,10360,10,Alamance-Burlington Schools,370003000202,Hugh M. Cummings High School,Public high school in Burlington. Part of the Alamance-Burlington Schools district. Opened 1970.,1970,Q5931553,http://hch.abss.k12.nc.us/,,2200 N Mebane Street  Burlington NC 27217 4332,Burlington,NCG02198,36.0886418,-79.396355,Open,Regular School,Public,NOTVIRTUAL,Piedmont Triad,340508,Alamance County,NCG00099,,"Rural, Fringe"
NCG17132,10378,10,Alamance-Burlington Schools,370003002153,Ray Street Academy,Public alternative school in Graham. Part of the Alamance-Burlington Schools district.,,,https://www.abss.k12.nc.us/domain/32,https://www.usnews.com/education/k12/north-carolina/ray-street-academy-14238,609 Ray Street  Graham NC 27253,Graham,NCG06046,36.0616702,-79.3952995,Open,Alternative Education,Public,NOTVIRTUAL,Piedmont Triad,340517,Alamance County,NCG00099,,"Rural, Fringe"
NCG17133,10388,10,Alamance-Burlington Schools,370003000016,Southern Alamance High School,Public high school in Graham. Part of the Alamance-Burlington Schools district. Opened 1960.,1960,Q24040112,http://sah.abss.k12.nc.us/,,631 Southern High Road  Graham NC 27253 9425,Graham,NCG06046,36.0679668,-79.4004317,Open,Regular School,Public,NOTVIRTUAL,Piedmont Triad,340505,Alamance County,NCG00099,,"Rural, Fringe"
NCG17134,10396,10,Alamance-Burlington Schools,370003000207,Walter M. Williams High School,Public high school in Burlington. Part of the Alamance-Burlington Schools district. Opened 1951.,1951,Q7965527,http://wwh.abss.k12.nc.us/,,1307 S Church Street  Burlington NC 27215 4919,Burlington,NCG02198,36.0884479,-79.4543367,Open,Regular School,Public,NOTVIRTUAL,Piedmont Triad,340520,Alamance County,NCG00099,,"Rural, Fringe"
NCG17135,10400,10,Alamance-Burlington Schools,370003000019,Western Alamance High School,Public high school in Elon. Part of the Alamance-Burlington Schools district. Opened 1962.,1962,Q7987445,http://wah.abss.k12.nc.us/,,1731 N NC 87  Elon NC 27244,Elon,NCG04911,36.1532177,-79.4978062,Open,Regular School,Public,NOTVIRTUAL,Piedmont Triad,341180,Alamance County,NCG00099,,"Rural, Fringe"
NCG17136,01B000,,,370005002366,River Mill Academy,Charter school in Graham.,,,http://www.rivermill-academy.org,https://www.usnews.com/education/k12/north-carolina/river-mill-academy-14241,235 Cheeks Lane  Graham NC 27253,Graham,NCG06046,36.043617,-79.3934743,Open,Regular School,Charter,NOTVIRTUAL,Piedmont Triad,343532,Alamance County,NCG00099,,"Suburb, Small"
NCG17137,01C000,,,370011602565,Clover Garden,Charter school in Burlington.,,,http://www.cgsnc.org,https://www.usnews.com/education/k12/north-carolina/clover-garden-14258,2454 Altamahaw Union Ridge Road  Burlington NC 27217,Burlington,NCG02198,36.1868897,-79.4715311,Open,Regular School,Charter,NOTVIRTUAL,Piedmont Triad,340507,Alamance County,NCG00099,,"Rural, Fringe"
NCG17138,01D000,,,370013202703,The Hawbridge School,Charter school in Saxapahaw.,,,http://www.thehawbridgeschool.org,https://www.usnews.com/education/k12/north-carolina/the-hawbridge-school-14264,1735 Saxapahaw Bethlehem Church Rd  Saxapahaw NC 27340,Saxapahaw,NCG13478,35.9464853,-79.3183385,Open,Regular School,Charter,NOTVIRTUAL,Piedmont Triad,340648,Alamance County,NCG00099,,"Rural, Distant"
NCG17139,20302,20,Alexander County Schools,370009000028,Alexander Central High School,Public high school in Taylorsville. Part of the Alexander County Schools district.,,Q4718555,http://www.alexander.k12.nc.us/alexandercentral,,223 School Drive  Taylorsville NC 28681 2399,Taylorsville,NCG15029,35.9167533,-81.1893043,Open,Regular School,Public,NOTVIRTUAL,Northwest,343938,Alexander County,NCG00129,,"Rural, Fringe"
NCG17140,20303,20,Alexander County Schools,370009003396,Alexander Early College,Public high school in Taylorsville. Part of the Alexander County Schools district.,,,http://www.alexander.k12.nc.us/aec,,345 Industrial Blvd  Taylorsville NC 28681,Taylorsville,NCG15029,35.9102921,-81.1801327,Open,Regular School,Public,NOTVIRTUAL,Northwest,340080,Alexander County,NCG00129,2016,"Rural, Fringe"
NCG17141,30304,30,Alleghany County Schools,370012000037,Alleghany High School,Public high school in Sparta. Part of the Alleghany County Schools district.,,Q4731260,http://www.alleghany.k12.nc.us/ahs,,404 Trojan Avenue  Sparta NC 28675,Sparta,NCG14328,36.5138238,-81.1224518,Open,Regular School,Public,NOTVIRTUAL,Northwest,343700,Alleghany County,NCG00147,,"Rural, Remote"
NCG17142,40304,40,Anson County Schools,370018002748,Anson Co. Early College High,Public high school in Polkton. Part of the Anson County Schools district.,,,http://www.ansonschools.org,,177 Ledbetter Street  Polkton NC 28135,Polkton,NCG12049,34.9996302,-80.2118643,Open,Regular School,Public,NOTVIRTUAL,Southwest,343131,Anson County,NCG00260,,"Town, Distant"
