film_name,wikidata_QID,IMDb_ID,IMDb_URL,IMDb_locations_URL,place,ncg_ID
10 Rules for Sleeping Around,Q18538790,tt1993391,https://www.imdb.com/title/tt1993391,https://www.imdb.com/title/tt1993391/locations?ref_=tt_ql_sm,Charlotte,NCG02916
28 Days,Q221098,tt0191754,https://www.imdb.com/title/tt0191754,https://www.imdb.com/title/tt0191754/locations?ref_=tt_ql_sm,Asheville|Black Mountain|Wilmington,NCG00366|NCG01420|NCG16454
29th Street,Q578700,tt0101252,https://www.imdb.com/title/tt0101252,https://www.imdb.com/title/tt0101252/locations?ref_=tt_ql_sm,Charlotte|Wilmington,NCG02916|NCG16454
3: The Dale Earnhardt Story,Q4636202,tt0401088,https://www.imdb.com/title/tt0401088,https://www.imdb.com/title/tt0401088/locations?ref_=tt_ql_sm,Charlotte|Rockingham,NCG02916|NCG12974
A Breed Apart,Q2626332,tt0087001,https://www.imdb.com/title/tt0087001,https://www.imdb.com/title/tt0087001/locations?ref_=tt_ql_sm,Chimney Rock|Lake Lure|Asheville|Biltmore Estate,NCG03059|NCG08377|NCG00366|NCG01361
A Burning Passion: The Margaret Mitchell Story,Q4655687,tt0109350,https://www.imdb.com/title/tt0109350,https://www.imdb.com/title/tt0109350/locations?ref_=tt_ql_sm,Durham|Wilmington,NCG04584|NCG16454
A Cinderella Story: Once Upon a Song,Q2705401,tt1814614,https://www.imdb.com/title/tt1814614,https://www.imdb.com/title/tt1814614/locations?ref_=tt_ql_sm,Wilmington,NCG16454
A Different Kind of Christmas,Q47069866,tt0182983,https://www.imdb.com/title/tt0182983,https://www.imdb.com/title/tt0182983/locations?ref_=tt_ql_sm,Wilmington,NCG16454
A Good Baby,Q4657088,tt0155723,https://www.imdb.com/title/tt0155723,https://www.imdb.com/title/tt0155723/locations?ref_=tt_ql_sm,Asheville|Sandy Mush,NCG00366|NCG13374
A Good Old Fashioned Orgy,Q1763181,tt1231586,https://www.imdb.com/title/tt1231586,https://www.imdb.com/title/tt1231586/locations?ref_=tt_ql_sm,Wilmington|Hampstead,NCG16454|NCG06519
