name,wikidata_id,human,discogs_id,type,originate_from,ncg_id,Period (start),Period (end),genre,description
Astronauts of Antiquity,Q24883505,FALSE,,band,Chapel Hill,NCG02888,2001,present,,"Astronauts of Antiquity (New York, New York, USA) are an alternative, electropop band based out of Los Angeles, California with roots in New York City. The trio, known for their luminous electronic soundscapes, tantalizing dance rhythms, pop-conscious melodies, and provocative lyrical themes, has released three records since their inception. Astronauts of Antiquity's most recent single Paradise comes off of their third release, the Beyond The Maze EP."
Shinola,Q7497725,FALSE,1028486,band,Chapel Hill,NCG02888,1993,2013,alternative rock,"Shinola was a rock band from Chapel Hill, North Carolina, United States, that existed from 1994 to 1997, and was a regular mainstay in the burgeoning local indie-rock scene of the time. Employing two guitars, electrified violin, drums, bass guitar, and occasionally Farfisa organ and banjo, their sound drew simultaneously on country/folk and punk rock influences. The band brandished left-wing politics on its album art, website and flyers, but lyrically most of its songs focused on heartbreak. They recorded the single ""Vodka"" (b/w ""Who's a Fuck-up?"") on Backporch Revolution, which was released it in 1996. The record was accorded a favorable review by Billboard Magazine and other periodicals. The band had over 30 songs, but never released a full-length album. A compilation of singles, demos, and live recordings was released after the band broke up in 1997."
Paper Tongues,Q7132670,FALSE,1788219,band,Charlotte,NCG02916,2009,present,alternative rock,"Paper Tongues is an American alternative rock band from Charlotte, North Carolina. The band currently consists of Aswan North (lead vocals) and Daniel Santell (bass guitar). Their sound is described as fusing rock n' roll melodies with beats, and elements of sound. Their debut album was released on March 30, 2010."
Dillon Fence,Q5276930,FALSE,1120532,band,Chapel Hill,NCG02888,2002,2007,alternative rock,"Dillon Fence was an American rock band from Chapel Hill, North Carolina. They were initially active from the mid-1980s until 1995. The band released three full-length albums (Rosemary, Outside In and Living Room Scene) on Mammoth Records."
Sylvan Esso,Q17388812,FALSE,3472305,band,Durham,NCG04584,2013,present,alternative rock,"Sylvan Esso is an American electronic pop duo from Durham, North Carolina, formed in 2013. The band consists of singer Amelia Meath (born July 2, 1988) and producer Nick Sanborn (born March 8, 1983). They made their debut with the single ""Hey Mami"" and released their eponymous debut album on Partisan Records on May 12, 2014, which reached No. 39 on the Billboard 200. They released their second album What Now with Loma Vista Recordings on April 28, 2017, which was nominated for a Grammy Award for Best Dance/Electronic Album. On April 24, 2020 Sylvan Esso released the live album WITH, featuring a 10-piece band. Their third album, Free Love, was released to positive reviews on September 25, 2020 via Loma Vista Recordings."
Spider Bags,Q96217136,FALSE,1645646,band,Chapel Hill,NCG02888,2006,present,,"Spider Bags is an alternative rock band from Chapel Hill, North Carolina. The band was founded by Daniel McGee and Gregg Levy in 2006 after McGee's old band, the DC Snipers, broke up. Titus Andronicus frontman Patrick Stickles has described Spider Bags as ""Americaâ€™s most underrated band"". Their debut album, A Celebration of Hunger, was recorded over a two-day period in February 2005 in Chapel Hill, and was released in 2007. The lineup on this album included not only McGee and Levy, but also a number of other musicians McGee knew from both North Carolina and New Jersey. Soon afterward, the New Jersey-born McGee moved to the Research Triangle area near Chapel Hill, and Levy followed suit shortly thereafter. The Spider Bags' lineup changed numerous times between the release of A Celebration of Hunger in 2007 and that its follow up, Goodbye Cruel World, Hello Crueler World, in 2009. Specifically, all the members other than McGee and Levy quit the band. For the band's third album, 2012's Shake My Head, the lineup included McGee and Levy, as well as Rock Forbes and Steve Oliva. Shortly after Shake My Head was released, Levy moved back to New Jersey, marking his departure from the band's lineup and reducing it to a trio. It was this trio that performed on the band's fourth album, Frozen Letter, which was released on Merge Records in 2014. Levy later rejoined the band for the recording of Someday Everything Will Be Fine, which was released in 2018."
Floating Action,Q5459863,FALSE,1577140,band,Black Mountain,NCG01420,2005,present,alternative rock,"Floating Action is a band from Black Mountain, North Carolina, founded by Seth Kauffman. Kauffman is the band's sole lyricist, songwriter, recorder and producer, in addition to playing almost all the music. Kauffman has been called ""the underappreciated genius of the Asheville music scene"", and has been compared to Harry Nilsson. Jim James of My Morning Jacket, Kauffman's frequent collaborator, called him ""the most underrated person in music"". He has also been praised by the Black Keys, Zach Miller of Dr. Dog, and Jonah Hill."
He Is Legend,Q9286874,FALSE,346709,band,Wilmington,NCG16454,2003,present,hard rock,"He Is Legend is an American hard rock/heavy metal band from Wilmington, North Carolina, formed in the late 1990s but settled on the name ""He Is Legend"" in 2003. According to the aggregate of the listeners, He Is Legend's music is similar to such of Alexisonfire, Every Time I Die, Norma Jean, and Thrice. The band's lineup is front man Schuylar Croom, guitarist Adam Tanbouz, bassist Matty Williams, and drummer Jesse Shelley."
Big Something,Q17985891,FALSE,4832043,band,Burlington,NCG02198,2009,present,alternative rock,"Big Something is an American alternative rock band based in Burlington, North Carolina. Big Something is known for their high-energy live performances, and are a popular staple at many music festivals. They have opened for The B52s, Robert Randolph and the Family Band, Galactic, Umphrey's McGee and other bands in their genre. Big Something also hosts their own annual music festival, The Big What, in Mebane, North Carolina. The band has released five studio albums, as well as a number of live recordings. Their first studio album, Songs From the Middle of Nowhere, won the Home Grown Music Network's 2010 Album of the Year award."
Ben Folds Five,Q816495,FALSE,103277,band,Chapel Hill,NCG02888,1993,2013,alternative rock,"Ben Folds Five is an American alternative rock band formed in 1993 in Chapel Hill, North Carolina. The group comprises Ben Folds (lead vocals, piano), Robert Sledge (bass guitar, backing vocals) and Darren Jessee (drums, backing vocals). The group achieved success in the alternative, indie and pop music scenes. Their single ""Brick"" from the second album, Whatever and Ever Amen (1997), gained airplay on many mainstream radio stations. During their first seven years, the band released three studio records, a compilation of B-sides and outtakes, and eight singles. They also contributed to a number of soundtracks and compilations. Ben Folds Five disbanded in October 2000. They reunited in 2011, and released their fourth album, The Sound of the Life of the Mind, in 2012."
