id,label,counties
NCG00083,Ahoskie Creek,NCG10994|NCG06906
NCG00177,Alligator River,NCG07541|NCG15567|NCG03991
NCG00185,Allman Branch,NCG02163|NCG09486
NCG00281,Appletree Swamp,NCG15994|NCG06243
NCG00454,Aycock Swamp,NCG15994|NCG16461
NCG00924,Beaverdam Creek,NCG01466|NCG03386
NCG00935,Beaverpond Creek,NCG10994|NCG19415
NCG00999,Belews Creek,NCG05432|NCG06348|NCG12975|NCG14644
NCG01061,Benaja Creek,NCG06348|NCG12975
NCG01157,Betty Creek,NCG09481|NCG19436
NCG01250,Big Kennedy Creek,NCG16715|NCG07643
NCG01268,Big Marsh Swamp,NCG07164|NCG12914
NCG01280,Big Peachtree Creek,NCG05530|NCG10643
NCG01295,Big Raft Swamp,NCG07164|NCG12914
NCG01378,Bird Creek,NCG02163|NCG09815
NCG02071,Buckle Creek,NCG01466|NCG11625
NCG02141,Bullhead Creek,NCG00147|NCG16377
NCG02278,Buttermilk Creek,NCG02714|NCG00099
NCG02498,Candy Creek,NCG06348|NCG12975
NCG02800,Cedar Creek,NCG02163|NCG13231
NCG02931,Chattooga River,NCG07740|NCG09481|NCG19436|NCG19437
NCG03047,Chicod Creek,NCG00891|NCG11935
NCG03068,Chinkapin Creek,NCG01126|NCG06906
NCG03198,Clems Branch,NCG09919|NCG19443
NCG03241,Clubfoot Creek,NCG02643|NCG03747
NCG03258,Cobbs Creek,NCG02714|NCG11679
NCG03366,Collins Creek,NCG11248|NCG02928
NCG03375,Colly Creek,NCG01466|NCG11625
NCG03382,Colt Creek,NCG06858|NCG12046
NCG03587,Cotton Creek,NCG10292|NCG10315
NCG03606,Country Line Creek,NCG12975|NCG02714|NCG19418
NCG03767,Creeping Swamp,NCG00891|NCG11935|NCG03747
NCG03899,Currituck Creek,NCG06906|NCG01126
NCG03926,Cypress Creek,NCG11233|NCG07971
NCG03959,Dan River,NCG19422|NCG14644|NCG12975|NCG02714|NCG19419|NCG19418
NCG04168,Dennis Creek,NCG15928|NCG02355
NCG04339,Doctors Creek,NCG13321|NCG04573|NCG11625
NCG04528,Dugger Creek,NCG15928|NCG16377
NCG04587,Durham Creek,NCG11418|NCG00891
NCG04591,Dutch Buffalo Creek,NCG13159|NCG02312
NCG04656,East Dismal Swamp,NCG00891|NCG15567|NCG15917
NCG04661,East Fork Chattooga River,NCG07740|NCG19437
NCG04861,Elkin River,NCG16377|NCG14850|NCG16715
NCG05003,Etheridge Swamp,NCG06455|NCG04760|NCG09647
NCG05185,Ferrells Creek,NCG11248|NCG02928
NCG05229,First Broad River,NCG13231|NCG03201
NCG05298,Flat Rock Creek,NCG16377|NCG16715|NCG07643
NCG05618,Fuda Creek,NCG09919|NCG02312
NCG06018,Goshen Swamp,NCG13321|NCG04573
