id,label,description,type,counties,geonameid,latitude,longitude
NCG19448,Aaron,See Montezuma.,reference,,,,
NCG19449,Abbotts Creek,community in NE Davidson County. A Primitive Baptist church was founded there in 1756. Gen. Nathanael Greene camped there in February 1781 before the Battle of Guilford Courthouse.,community,Davidson,4452122,35.62875,-80.26339
NCG19450,Abbotts Creek Township,NE Davidson County.,township,Davidson,4452125,35.99031,-80.11094
NCG19451,Adams Branch,rises in S central Transylvania County and flows S into French Broad River.,branch,Transylvania,4452189,35.17789,-82.75374
NCG19452,Adams Creek,"rises in central Cabarrus County and flows SE into Dutch Buffalo Creek. Named for John Adam Blackwelder, an early settler.",creek,Cabarrus,4452193,35.38014,-80.42479
NCG19453,Adams Creek,"rises in central Carteret County and flows N into Craven County, where it enters Neuse River. A canal connecting the headwaters of Adams Creek with Newport River provides access between Newport and Neuse Rivers for the Intracoastal Waterway. For a part of its course, Adams Creek forms the boundary between Carteret and Craven Counties.",creek,Carteret|Craven,4452196,34.96488,-76.68965
NCG19454,Adams Store,community in N Halifax County.,community,Halifax,,,
NCG19455,Airlie,community in W Halifax County. Named for plantation home of jurist Walter Clark (1846-1924).,community,Halifax,4452274,36.33571,-77.88443
NCG19456,Albright Township,"former township in S central Alamance County, now township no. 7.",formerCommunity,Alamance,,,
NCG19457,All Healing Springs,"community in W Alexander County. Springs discovered in 1882 by Milt Milstead and developed as a resort that was popular as late as 1911. Named for supposed healing qualities of water; known also as Alkalithia Springs. Alt. 1,225.",community,Alexander,4452374,35.93263,-81.26398
NCG19458,All Healing Springs,community in SW Gaston County near the NE slope of Crowders Mountain. A health resort flourished there in the late nineteenth and early twentieth centuries because of the mineral springs.,community,Gaston,,,
NCG19459,Allan Creek,rises in S Duplin County and flows S into Island Creek.,creek,Duplin,,,
NCG19460,Allen Branch,rises in N Cherokee County and flows SE into Davis Creek.,branch,Cherokee,4452390,35.08314,-84.24242
NCG19461,Allen Branch,rises in NE Cherokee County and flows S into Junaluska Creek.,branch,Cherokee,4452390,35.08314,-84.24242
NCG19462,Allen Branch,rises in central Henderson County and flows NW into Clear Creek.,branch,Henderson,4452392,35.34928,-82.45262
NCG19463,Allen Branch,See Bill Allen Branch.,reference,,,,
NCG19464,Allen Creek,"rises in SE Brunswick County and flows NE into McKenzie Pond, which see. It is drained by Lilliput Creek. Named for Eleazer Allen (1692-1750), founder of Lilliput Plantation. Name appears on the MacRae map, 1833. See also Lilliput Creek.",creek,Brunswick,4475939,34.06962,-77.94165
NCG19465,Allen Mountain,in S Macon County between Ball Creek and Coweeta Creek.,mountain,Macon,4452432,35.0537,-83.42099
NCG19466,Allen's Crossroads,community in SW Johnston County.,community,Johnston,4452450,35.38766,-78.47028
NCG19467,Allens Branch,rises in E Orange County and flows NE into New Hope Creek.,branch,Orange,,,
NCG19468,Allenton,"community in E Robeson County. Alt. 131. Settled about 1868. Named for W. H. Allen, trainmaster. Bear Bay, post office 1 mi. e, abandoned with the development of Allenton.",community,Robeson,4452462,34.59239,-78.92614
NCG19469,Alligator Bay,"swamp in NW Brunswick County. A part of Green Swamp, which see.",swamp,Brunswick,4452469,34.10073,-78.43556
NCG19470,Alligator Creek,rises in E central Camden County and flows E into North River.,creek,Camden,4486686,36.28766,-75.97131
NCG19471,Alligator Creek,rises in central Pamlico County and flows N into Bay River.,creek,Pamlico,4452483,35.12767,-76.72993
NCG19472,Alligator Creek,"rises in N Tyrrell County and flows SE and NE into the mouth of Alligator River. Appears on the Moseley map, 1733.",creek,Tyrrell,4476094,35.93738,-76.01325
NCG19473,Allison Creek,"rises in S central Transylvania County, just S of Elk Lodge Mountain, and flows SE into French Broad River.",creek,Transylvania,4452506,35.25372,-82.7129
NCG19474,Alum Knob,N Madison County between Alum Ridge and Shelton Laurel Creek.,knob,Madison,4452544,35.97344,-82.72709
NCG19475,Amherst,"community in S central Caldwell County. Site of Amherst Academy in nineteenth century, named by Robert Logan Patton, principal, for Amherst College in Massachusetts, of which he was a graduate.",community,Caldwell,,,
NCG19476,Ammons Branch,rises in E Macon County and flow SW into Rabbit Creek.,branch,Macon,4452588,35.21176,-83.33515
NCG19477,Ammons Branch,rises in SE Macon County and flows SW into Cullasaja River.,branch,Macon,4452588,35.21176,-83.33515
NCG19478,Ammons Branch,rises in S Madison County and flows W into Walnut Creek.,branch,Madison,4452590,35.85316,-82.59652
NCG19479,Ammons Branch,rises in W Swain County and flows E into Little Tennessee River.,branch,Swain,4452591,35.3862,-83.57072
NCG19480,Amos Creek,"rises in NW Caldwell County and flows S into Mulberry Creek. Probably named for Amos Green, a nineteenth-century resident of the area.",creek,Caldwell,4452598,36.05485,-81.64538
NCG19481,Anderson Branch,rises in SW Macon County and flows NE into Lowery Creek.,branch,Macon,4452612,35.11815,-83.49794
NCG19482,Anderson Branch,rises in SW Madison County and flows NE into French Broad River.,branch,Madison,4452613,35.83122,-82.74847
NCG19483,Anderson Creek,"rises in S Cabarrus County and flows E into Rocky River. Appears on the MacRae map, 1833.",creek,Cabarrus,4472096,35.27431,-80.52451
NCG19484,Anderson Creek,rises in a bend of Hiwassee River below the Hiwassee Dam in W Cherokee County and flows SW into Hiwassee River.,creek,Cherokee,4452626,35.14897,-84.20353
NCG19485,Anderson Creek,rises in S Craven County and flows E into the mouth of Slocum Creek.,creek,Craven,4452627,34.95266,-76.90466
NCG19486,Anderson Creek,"rises in S Harnett County and flows SE into Little River. Named for Thomas Anderson, an early settler.",creek,Harnett,4482510,35.26322,-78.87725
NCG19487,Anderson Creek,rises in N Lincoln County and flows SE into Killian Creek.,creek,Lincoln,4452631,35.43791,-81.03258
NCG19488,Anderson Mountain,"SE Catawba County. Alt. 1,547.",mountain,Catawba,4452644,35.58458,-81.07091
NCG19489,Angola,community in W Onslow County.,community,Onslow,4452692,34.70989,-77.63497
NCG19490,Anthony Branch,rises in N Swain County and flows S into Proctor Creek.,branch,Swain,4452719,35.54343,-83.58878
NCG19491,Anthony Creek,"rises in E Avery County and flows SE into Caldwell County, where it enters Johns River.",creek,Caldwell|Avery,4452721,36.05846,-81.72261
NCG19492,Anthony Creek,"rises in S central Gaston County, about 2 mi. SE of community of South Gastonia, and flows N through Robinwood Lake and empties into Catawba Creek.",creek,Gaston,4452722,35.23764,-81.15619
NCG19493,Antioch Township,S Hoke County.,township,Hoke,4452802,34.88786,-79.20809
NCG19494,Appletree Branch,rises in W Macon County and flows SE into Nantahala River.,branch,Macon,4452837,35.28009,-83.63406
NCG19495,Arabia,community in SE Hoke County.,community,Hoke,4452845,34.95016,-79.12559
NCG19496,Archdale,"town in NW Randolph County. Settled about 1786 by Quakers. Inc. 1874 as Bush Hill; named for the fact that the area was originally covered with a growth of low bushes. Name changed to Archdale, 1887, in honor of John Archdale (1642?-1717), a Quaker, one of the Lords Proprietors of Carolina, and governor, 1694-96. Original post office was ½ mi. from present site and named Bloomington until moved to Bush Hill in 1865. Archdale is now a residential suburb of High Point.",town,Randolph,4452871,35.91458,-79.97198
NCG19497,Arlington,community in W Harnett County between the Cape Fear River and Upper Little River.,community,Harnett,4456733,35.41738,-78.96113
NCG19498,Arlington,"town in NE Mecklenburg County on Clear Creek. Inc. 1930, but long inactive in municipal affairs.",town,Mecklenburg,4452898,35.26931,-80.97257
NCG19499,Arlington,"town in NW Yadkin County. Chartered 1893; long inactive in municipal affairs and rechartered 1930. Merged with Jonesville, 2001.",town,Yadkin,4452897,36.22736,-80.8334
NCG19500,Asbury,"community in NE Montgomery County. Alt. 624. Auman's Hill post office est. there, 1850. Name of the community changed to Asbury in 1887 for a local Methodist church.",community,Montgomery,4452981,35.49375,-79.77392
