ID,Label,Feature type,Description
NCG00001,"""Unorganized Territory,""",Reserve,"former designation for most of the area formerly in Mattamuskeet Township, central Hyde County. Owned by the federal government and used as a fish and wildlife reservation. Residents vote and list taxes in Lake Landing Township."
NCG00002,30 Mile Post,Point of interest,"marked corner on the North Carolina-Georgia state line, SE Clay County 30 mi. W of Ellicott Rock, which see. Survey completed to the corner in 1819. There the state line turns due S for 1,983 ft. to Montgomery Corner, which see."
NCG00003,Añadales Chase,Unknown,"an otherwise unidentified designation appearing on the Smith map, 1624, shown between what is now Tar and Roanoke Rivers, NW of the head of Pungo River, probably in what is now N Pitt and Martin Counties."
NCG00035,Abraham's Plains,District,"former district in NE Granville County. It had 62 heads of families in 1790 at the time of the first census. Took its name from the home, built 1766, of Col. Samuel Smith, who had fought in the battle at Abraham's Plains at Quebec, Canada."
NCG00095,Akwetiyi,Freshwater area,"a spot on Tuckasegee River in NW Jackson County, about 1 mi. NW of town of Dillsboro, and between mouth of Dicks Creek and mouth of Laurel Branch. According to Indian tradition there was a dangerous water monster in the river. The meaning of the name is lost."
NCG00112,"Albemarle, The",Region,"or the Albemarle Section a term applied to NE North Carolina. It was the location of the first county, Albemarle County, which see."
NCG00214,Ammon Bottom,Area,E Cherokee County between Elliott Branch and Piper Branch.
NCG00240,Andrews Geyser,Point of interest,"SW McDowell County, in Horseshoe Bend of the Southern Railway, was constructed in the 1880s, restored in 1911 and 1975, as a tribute to Col. Alexander Boyd Andrews, builder of the Western North Carolina Railroad into Asheville. Water from a higher mountain lake about 2 mi. away is piped to the site. Natural pressure forces the water upward in a 100-ft. jet from the center of a stone fountain. Formerly passenger trains stopped there for 20 minutes to enable those interested to visit the site."
NCG00276,Appalachian Trail,Trail,"a marked footpath extending approx. 2,050 mi. from Maine to Georgia. In North Carolina approx. 70 of the 200 mi. within the state cross the crest of the Great Smoky Mountains. The highest point on the trail is Clingmans Dome, with an alt. of 6,642 ft. Proposed in 1921 and completed in 1937, it has been described as the longest marked footpath in the world."
NCG00285,Aquascogoc,Native American settlement,"appears on the White map, 1585, as an Indian village near the head of Pungo River estuary, not far from either modern Scranton in Hyde County or Belhaven in Beaufort County."
NCG00288,Arabia,Nickname,nickname applied about 1860 to the desolate Outer Banks of North Carolina.
NCG00290,Aramuskeet,Native American settlement,"described in 1758 as a part of Hyde County: ""That Part of the County is a Peninsula, or rather an Island for three Parts of the Year, and can be entered by foot Passengers only in the Height of Summer, and that with great Difficulty for several Miles together. It was formerly an Indian Settlement, and there are at present about 12 Families of Indians, who live dispersed among the Whites, and dress and live like them, but they have still one whom they call the King among them."" See also Aromuskek Marshes; Lake Mattamuskeet."
NCG00302,Archdale Precinct,Precinct,"was formed from Bath County on December 3, 1705, and named in honor of John Archdale (1642?-1717), governor of Carolina, 1694-96. The name was changed about 1712 to Craven County, which see."
NCG00319,"Arm, The",Mountain feature,"an extension of Big Bald Mountain on the line dividing Unicoi County, Tenn., from Madison and Yancey Counties, N.C."
NCG00345,Asey Hole,Freshwater area,"deep section of White Oak River in E Onslow County near the mouth of Freemans Creek. Named for an old man, Asa Moore, who fell into the river there."
NCG00355,Ashby Harbor,Bay,"a bay on the W shore of Roanoke Island, E Dare County, in the waters of Croatan Sound. Site of landing by troops of Union general Ambrose Burnside, February 7, 1862."
NCG00362,Asheboro South,Populated place,"unincorporated outskirts of Asheboro, central Randolph County."
NCG00364,Asheboro West,Populated place,"unincorporated outskirts of Asheboro, central Randolph County. A portion of the area was taken into the town of Asheboro late in 1960 after the census had been taken."
NCG00380,Ashwood,Estate,"S Bladen County, was the home of William Bartram, uncle of the naturalist of the same name. The naturalist lived there 1761-65 and 1770-72. It was called Ashwood by John Baptista Ashe, a previous owner, as early as 1731. It was on the right bank of Cape Fear River, approx. 5 mi. NE of Council. Only a cellar excavation and some chimney brick remain to mark the site."
