ID,Label,Feature type,Meta-Category,Description
NCG00008,Aaron Swamp,Swamp,Wetlands,rises in W Robeson County and flows S into Ashpole Swamp.
NCG00020,Abel Bay,Bay,Water,SW Hyde County in the mouth of Pungo River.
NCG00031,Abigails Islands,Islands,Landform,"appear on the Smith map, 1624, as the cluster of islands in Pamlico Sound off S Hyde County between Rose Bay and Swanquarter Bay. Now Bell, Great, Judith, Marsh, and Swanquarter Islands, which see."
NCG00034,Abraham Bay,Bay,Water,small bay in the mouth of Turn-again Bay in N Carteret County.
NCG00055,Adams Hollow,Valley,Landform,in NW Swain County extends S on a tributary of Ekaneetlee Creek to Grill Cove.
NCG00057,Adams Point,Point,Landform,"point of land in E Beaufort County on Pamlico River near the mouth of Pungo River. Appears on the Moseley map, 1733."
NCG00084,Ahoskie Swamp,Swamp,Wetlands,"rises in S Hertford County and flows SE and NE into Bear Swamp. Appears as Ahotskey Swamp on the Collet map, 1770."
NCG00105,Albemarle Beach,Beach,Landform,"NW Washington County on Albemarle Sound, W of the town of Mackeys. Formerly known as Reas Beach."
NCG00106,Albemarle City Lake,Lake,Water,"central Stanly County on Long Creek. Formed in 1915. Covers 75 acres; max. depth 40 ft. Fishing, swimming, boating."
NCG00110,Albemarle Sound,Sound,Water,"NE North Carolina, separated from the Atlantic Ocean by a part of the Outer Banks. Approx. 52 mi. long and 5 to 14 mi. wide. Max. depth 25 ft. Sea level; freshwater not affected by tide. Waters from the Chowan and Roanoke Rivers enter the sound on the w; it drains into Roanoke, Croatan, and Pamlico Sounds. Explored by Ralph Lane, 1586; known as Sea of Rawnocke (Roanoke Sea) in 1609. Appears as Roanoke Sound on the Comberford map, 1657. Known briefly in 1663 as Carolina River and appears as Albemarle River on the Locke map, 1671, and the Blome map, 1672. The John Barnwell map of about 1722 was one of the first to use the name Albemarle Sound. First permanent settlements in North Carolina were made along its N shore. Named after 1663 for George Monck, Duke of Albemarle, one of the Lords Proprietors of Carolina. See also Weapemeoc."
NCG00172,Alligator Bay,Bay,Water,in S Onslow County at the E end of Stump Sound.
NCG00175,Alligator Lake,Lake,Water,"a natural lake in N Hyde County, 3Â½ mi. in diameter, almost a perfect circle. Not shown on the Collet map, 1770, or the Mouzon map, 1775; a map in The Political Magazine (November 1780) shows an enlarged area at the head of Alligator River. Not until 1812, on a map published in Boston, is the lake clearly shown. Within a few years it was being labeled Alligator Lake on maps. The lake now is filled by swamp drainage; its two outlets are the New Lake Fork of Alligator River and a drainage ditch leading into Pungo River. Alligator Lake, known locally as New Lake, covers approx. 6,000 acres and is 6 to 7 ft. at its deepest."
NCG00176,Alligator Pond,Pond,Water,"built beside McClendon's Creek 2 mi. S of Carthage, Moore County. 1 acre."
NCG00179,Alligator Swamp,Swamp,Wetlands,rises in NW Brunswick County and flows N into Juniper Creek.
NCG00227,Anderson Cove,Valley,Landform,valley through which Shelton Branch flows in N Buncombe County.
NCG00254,Angola Bay,Pocosin,Wetlands,"pocosin in S Duplin and N Pender Counties. Angola Bay Game Preserve there is maintained by the N.C. Wildlife Resources Commission; bear, deer, and other wildlife abound. See also Holly Shelter Bay."
NCG00272,Apalachia Lake,Lake,Water,"NW Cherokee County on Hiwassee River at the Tennessee state line. Formed by Tennessee Valley Authority dam completed in 1943. Covers 1,123 acres, max. depth 120 ft., approx. 10 mi. long. Spelling with single p contrary to accepted manner."
NCG00281,Appletree Swamp,Swamp,Wetlands,rises in NE Wayne County and flows SE into Nahunta Swamp in Greene County. The name appears in local records prior to 1750.
NCG00304,Archie's Point,Point,Landform,"point of land extending from Bogue Banks into Bogue Sound, SW Carteret County. Named for Archibald Smith. Sometimes also called Point of Woods."
NCG00328,Aromuskek Marshes,Marsh,Wetlands,"appear on the Ogilby map, 1671, in the E section of present Hyde County between Lake Mattamuskeet and Pamlico Sound. See also Aramuskeet."
NCG00341,Asa Cove,Cove,Water,S Macon County between Messer Ridge and Betty Creek.
