File,ID,Label,Feature type,Description,Secondary Feature Type,Related War
3-populated.csv,NCG00009,Aarons Corner,Community,community in N Stokes County. Named for a church.,,
3-populated.csv,NCG00015,Abbotts Creek Township,Township,SE Forsyth County.,,
3-populated.csv,NCG00016,Abbotts Township,Township,SW Bladen County.,,
3-populated.csv,NCG00017,Abbottsburg,Town,"town in SW Bladen County. Inc. 1903. Alt. approx. 99. Named for Joseph C. Abbott (1825-81), president of the Cape Fear Building Company there.",,
3-populated.csv,NCG00022,Abells,Community,"community in NE Johnston County served by post office, 1880-1900.",Post office town,
3-populated.csv,NCG00023,Aberdeen,Town,"town in S Moore County. Inc. 1893. Known originally as Blue's Crossing after settler Malcolm Blue. Renamed in 1887 by resident John Graham, who had formerly lived in Aberdeen, Miss., which in turn was named for the seaport in Scotland. Economy caters to golf and tourist industry and area military bases. Produces carpets, hosiery, textiles, furniture, and canned foods. Alt. 339.",,
3-populated.csv,NCG00025,Aberly,Community,community in E Onslow County.,,
3-populated.csv,NCG00026,Abernethy,Community,community in W Iredell County.,,
3-populated.csv,NCG00029,Abi,Community,"community in central Stanly County served by post office, 1894-1907.",Post office town,
3-populated.csv,NCG00033,Abner,Community,"community in N Montgomery County formerly known as Saunder's Hill and served by post office, 1859-98. Took Abner name in 1898. Post office by the name operated until 1953. By tradition named for local principal.",Post office town,
3-populated.csv,NCG00037,Abshers,Community,community in N Wilkes County between Harris Creek and Middle Prong Roaring River.,,
3-populated.csv,NCG00041,Acme,Town,"town in NE Columbus County on Livingston Creek. Known originally as Livingston for the creek. Inc. 1905 as Cronly and named for local landowner; name changed to Acme in 1911 for Acme Manufacturing Company, producer of fertilizer. Produces fertilizer and paper. Alt. 37.",,
3-populated.csv,NCG00042,Acorn,Community,community on Jones Pond E Gates County. Sometimes also known as Acorn Hill.,,
3-populated.csv,NCG00044,Acre,Community,"community in N central Beaufort County. Long Acre appears on the Collet map, 1770, as a ridge in the Dismal Swamp of NE Beaufort and S Washington Counties. It supported a post road from Plymouth to Bath. It is called Long Acre on various maps until Kerr, 1882, where it is marked ""Long Acre Ridge."" Long Acre community grew up at the S end of the ridge, and a post office there from 1883 to 1907 was called Acresville. By 1917 it was called Acre from the railroad name, and the ridge was no longer recorded on maps. Alt. 32.",,
3-populated.csv,NCG00046,Acton,Community,"community between Enka and Sulphur Springs, central Buncombe County.",,
3-populated.csv,NCG00048,Adair,Community,community in N Gates County.,,
3-populated.csv,NCG00049,Adake,Community,community in W Caldwell County on Wilsons Creek.,,
3-populated.csv,NCG00050,Adam's Store,Community,"community in NW Mecklenburg County served by post office, 1852-55.",Post office town,
3-populated.csv,NCG00051,Adams,Community,community in central Watauga County.,,
3-populated.csv,NCG00054,Adams Crossroads,Community,community in W Wake County between Brier Creek and Sycamore Creek.,,
3-populated.csv,NCG00058,Adams Run,Community,community in E Henderson County on Big Hungry Creek.,,
3-populated.csv,NCG00060,Adamsville,Former community,former community in central Wayne County on the E edge of Goldsboro. At one time known as Adams Store. Now within the corporate limits of Goldsboro.,,
3-populated.csv,NCG00062,Addie,Community,"community in N Jackson County, on Scotts Creek. Located about 3 mi. NE of town of Sylva. Alt. 2,249.",,
3-populated.csv,NCG00063,Addor,Town,"town in S Moore County. Inc. 1881 as Keyser; named for an officer of the Raleigh and Augusta Airline Railroad. During World War I, the name became unpopular because of the similarity to ""Kaiser."" Name changed in October 1918 to Addor in honor of Felix Addor, local resident, who had been killed on the troopship SS Leviathan in March. Long inactive in municipal affairs. Served by post office, 1877-1918.",,World War I
