ID,Label,Feature type,ADL Feature Types,OpenStreetMap Feature Types,County,Location Issue,Description
NCG00011,Abbot Top,Top,Mountain Summits,natural - peak,Cherokee,No,mountain in central Cherokee County between Hiwassee River and West Prong Grape Creek.
NCG00028,Abes Mountain,Mountain,Mountatins,natural - peak,Cleveland,No,SW Cleveland County near Broad River. Alt. 950.
NCG00047,Ad Tate Knob,Knob,Mountain Summits,natural - peak,Haywood,No,on Utah Mountain in central Haywood County.
NCG00056,Adams Mountain,Mountain,Mountatins,natural - peak,Caldwell,No,"W Caldwell County. Alt. 1,500."
NCG00091,Aiken Mountain,Mountain,Mountatins,natural - peak,Transylvania,No,S Transylvania County between Aiken Creek and Carson Creek.
NCG00092,Air Bellows Gap,Gap,Gaps,natural - valley,Alleghany,Yes,"on the Alleghany-Wilkes county line. An early road across the Blue Ridge Mountains passed through the gap. Alt. 3,744."
NCG00113,Albert Mountain,Mountain,Mountatins,natural - peak,Macon,No,"S Macon County between Bearpen Gap and head of Hurricane Creek. Alt. 5,207."
NCG00156,Allen Gap,Gap,Gaps,natural - valley,Cherokee,No,N Cherokee County near the head-waters of Allen Branch.
NCG00157,Allen Mountain,Mountain,Mountatins,natural - peak,Buncombe,No,NE Buncombe County.
NCG00203,Alum Knob,Knob,Mountain Summits,natural - peak,Jackson,No,between Caney Fork and Tuckasegee River in central Jackson County.
NCG00215,Ammon Knob,Knob,Mountain Summits,natural - peak,Clay,Yes,on the Cherokee-Clay county line in the Valley River Mountains.
NCG00217,Ammons Knob,Knob,Mountain Summits,natural - peak,Macon,No,"S Macon County between the head of Hayes Mill Creek and Nickajack Creek. Alt. 3,916."
NCG00231,Anderson Mountain,Mountain,Mountatins,natural - peak,Haywood,No,E Haywood County between the headwaters of Stamey Cove Branch and Sally Haines Branch.
NCG00234,Anderson's Mountain,Mountain,Mountatins,natural - peak,Lincoln,No,NE Lincoln County. Also known as Little Mountain.
NCG00239,Andrews Bald,Bald,Mountain Summits,natural - peak,Swain,No,"N Swain County in Great Smoky Mountains National Park between Forney Creek and Salola Branch. Alt. 5,860."
NCG00243,Andy Gap,Gap,Gaps,natural - valley,Macon,No,S Macon County between Cedar Cliff Mountain and Mulberry Gap.
NCG00244,Angel Mountain,Mountain,Mountatins,natural - peak,Macon,No,SW Macon County between Bryson Branch and Moore Creek.
NCG00245,Angelico Gap,Gap,Gaps,natural - valley,Cherokee,No,SW Cherokee County at the SW end of Angelico Mountain.
NCG00246,Angelico Mountain,Mountain,Mountatins,natural - peak,Cherokee,No,SW Cherokee County extending NE from Angelico Gap to Bowmans Gap. See also Rocky Face.
NCG00251,Anglin Knob,Knob,Mountain Summits,natural - peak,Yancey,No,central Yancey County near the head of Bailey Branch.
NCG00256,Ann Mountain,Mountain,Mountatins,natural - peak,Henderson,No,on a branch of Cabin Creek in S Henderson County.
NCG00259,Annie Mountain,Mountain,Mountatins,natural - peak,Henderson,No,"E Henderson County S of Bradley Mountain. Alt. 2,731."
NCG00266,Anthony Mountain,Mountain,Mountatins,natural - peak,Avery,No,S central Avery County.
