id,label,pronunciation,description,County,feature_type
NCG00001,"""Unorganized Territory,""",,"former designation for most of the area formerly in Mattamuskeet Township, central Hyde County. Owned by the federal government and used as a fish and wildlife reservation. Residents vote and list taxes in Lake Landing Township.",Hyde,Reserve
NCG00002,30 Mile Post,,"marked corner on the North Carolina-Georgia state line, SE Clay County 30 mi. W of Ellicott Rock, which see. Survey completed to the corner in 1819. There the state line turns due S for 1,983 ft. to Montgomery Corner, which see.",Clay,PointOfInterest
NCG00003,Añadales Chase,,"an otherwise unidentified designation appearing on the Smith map, 1624, shown between what is now Tar and Roanoke Rivers, NW of the head of Pungo River, probably in what is now N Pitt and Martin Counties.",Pitt|Martin,Unknown
NCG00004,Aaron,,See Hood Swamp.,,Reference
NCG00005,Aaron Branch,,rises in N Mitchell County and flows SE into Bean Creek.,Mitchell,Branch
NCG00006,Aaron Creek,,rises in NE Cherokee County and flows NW into Taylor Creek.,Cherokee,Creek
NCG00007,Aaron Duff,,See Iron Duff.,,Reference
NCG00008,Aaron Swamp,,rises in W Robeson County and flows S into Ashpole Swamp.,Robeson,Swamp
NCG00009,Aarons Corner,,community in N Stokes County. Named for a church.,Stokes,Community
NCG00010,Aarons Creek,,"rises in NW Granville County and flows NE into Virginia, where it enters Dan River.",Granville,Creek
NCG00011,Abbot Top,,mountain in central Cherokee County between Hiwassee River and West Prong Grape Creek.,Cherokee,Top
NCG00012,Abbots Island,,See Croatoan Island.,,Reference
NCG00013,Abbott's Creek,,rises in N Wake County and flows NE into Neuse River.,Wake,Creek
NCG00014,Abbotts Creek,,"rises in NE Davidson County and flows SW into Yadkin River. Appears as Abbots Creek on the Collet map, 1770.",Davidson,Creek
NCG00015,Abbotts Creek Township,,SE Forsyth County.,Forsyth,Township
NCG00016,Abbotts Township,,SW Bladen County.,Bladen,Township
NCG00017,Abbottsburg,,"town in SW Bladen County. Inc. 1903. Alt. approx. 99. Named for Joseph C. Abbott (1825-81), president of the Cape Fear Building Company there.",Bladen,Town
NCG00018,Abbs Creek,,rises in N Jackson County and flows S into Caney Fork.,Jackson,Creek
NCG00019,Abe Creek,,rises in S Macon County and flows SE into West Fork Overflow Creek.,Macon,Creek
NCG00020,Abel Bay,,SW Hyde County in the mouth of Pungo River.,Hyde,Bay
NCG00021,Abel's Creek,,rises in North River Pocosin in S Camden County and flows E into North River.,Camden,Creek
NCG00022,Abells,,"community in NE Johnston County served by post office, 1880-1900.",Johnston,Community
NCG00023,Aberdeen,,"town in S Moore County. Inc. 1893. Known originally as Blue's Crossing after settler Malcolm Blue. Renamed in 1887 by resident John Graham, who had formerly lived in Aberdeen, Miss., which in turn was named for the seaport in Scotland. Economy caters to golf and tourist industry and area military bases. Produces carpets, hosiery, textiles, furniture, and canned foods. Alt. 339.",Moore,Town
NCG00024,Aberdeen Creek,,rises in S Moore County and flows SW into Lumber River. Known as Devil's Gut Creek or Devils Creek until early in the twentieth century.,Moore,Creek
NCG00025,Aberly,,community in E Onslow County.,Onslow,Community
NCG00026,Abernethy,,community in W Iredell County.,Iredell,Community
NCG00027,Abernethy Creek,,rises in SW Gaston County and flows NE and SE in an arc into Crowders Creek.,Gaston,Creek
NCG00028,Abes Mountain,,SW Cleveland County near Broad River. Alt. 950.,Cleveland,Mountain
NCG00029,Abi,,"community in central Stanly County served by post office, 1894-1907.",Stanly,Community
NCG00030,Abier Creek,,rises in SE Burke County and flows N into Henry Fork.,Burke,Creek
NCG00031,Abigails Islands,,"appear on the Smith map, 1624, as the cluster of islands in Pamlico Sound off S Hyde County between Rose Bay and Swanquarter Bay. Now Bell, Great, Judith, Marsh, and Swanquarter Islands, which see.",Hyde,Islands
