loc_id,loc_label,id,wikidata_id,worldcat_id,viaf_id
http://id.loc.gov/authorities/names/n82079176,Montreat,NCG10298,http://www.wikidata.org/entity/Q736831,http://id.worldcat.org/fast/1220357,http://viaf.org/viaf/sourceID/LC%7Cn++82079176#skos:Concept
http://id.loc.gov/authorities/names/n81104362,Nashville,NCG10646,http://www.wikidata.org/entity/Q599186,http://id.worldcat.org/fast/1215323|http://id.worldcat.org/fast/1348270,http://viaf.org/viaf/sourceID/LC%7Cn++81104362#skos:Concept
http://id.loc.gov/authorities/names/n94033911,Beech Mountain,NCG00978,,http://id.worldcat.org/fast/1268698,http://viaf.org/viaf/sourceID/LC%7Cn++94033911#skos:Concept
http://id.loc.gov/authorities/names/n2008041089,Willard,NCG16404,,http://id.worldcat.org/fast/1875766,http://viaf.org/viaf/sourceID/LC%7Cn+2008041089#skos:Concept
http://id.loc.gov/authorities/names/n96040909,Sedalia,NCG13573,http://www.wikidata.org/entity/Q2024847,http://id.worldcat.org/fast/1276098,http://viaf.org/viaf/sourceID/LC%7Cn++96040909#skos:Concept
http://id.loc.gov/authorities/names/n84136663,Danbury,NCG03966,http://www.wikidata.org/entity/Q2026186,http://id.worldcat.org/fast/1229780,http://viaf.org/viaf/sourceID/LC%7Cn++84136663#skos:Concept
http://id.loc.gov/authorities/names/no2015101641,Glenville,NCG05911,,,http://viaf.org/viaf/sourceID/LC%7Cno2015101641#skos:Concept
http://id.loc.gov/authorities/names/n84136687,Hot Springs,NCG07381,http://www.wikidata.org/entity/Q2024533,http://id.worldcat.org/fast/1229796,http://viaf.org/viaf/sourceID/LC%7Cn++84136687#skos:Concept
http://id.loc.gov/authorities/names/n92091976,Manson,NCG09549,,http://id.worldcat.org/fast/1263002,http://viaf.org/viaf/sourceID/LC%7Cn++92091976#skos:Concept
http://id.loc.gov/authorities/names/n82104616,Mitchell County,NCG10217,http://www.wikidata.org/entity/Q506337,http://id.worldcat.org/fast/1221208,http://viaf.org/viaf/sourceID/LC%7Cn++82104616#skos:Concept
http://id.loc.gov/authorities/names/no2014027515,Patterson Springs,NCG11530,,,http://viaf.org/viaf/sourceID/LC%7Cno2014027515#skos:Concept
http://id.loc.gov/authorities/names/n83030447,Saratoga,NCG13407,http://www.wikidata.org/entity/Q2028294,http://id.worldcat.org/fast/1224404,http://viaf.org/viaf/sourceID/LC%7Cn++83030447#skos:Concept
http://id.loc.gov/authorities/names/n83030423,Rodanthe,NCG13046,http://www.wikidata.org/entity/Q2724058,http://id.worldcat.org/fast/1224384,http://viaf.org/viaf/sourceID/LC%7Cn++83030423#skos:Concept
http://id.loc.gov/authorities/names/n83030556,Rowland,NCG13163,http://www.wikidata.org/entity/Q2023553,http://id.worldcat.org/fast/1224422,http://viaf.org/viaf/sourceID/LC%7Cn++83030556#skos:Concept
http://id.loc.gov/authorities/subjects/sh2009005449,Lake James,NCG07980,,http://id.worldcat.org/fast/1879758,
http://id.loc.gov/authorities/names/n81124960,Randleman,NCG12455,http://www.wikidata.org/entity/Q2029479,http://id.worldcat.org/fast/1216174,http://viaf.org/viaf/sourceID/LC%7Cn++81124960#skos:Concept
http://id.loc.gov/authorities/names/n82079177,Carrboro,NCG02608,http://www.wikidata.org/entity/Q780330,http://id.worldcat.org/fast/1220358,http://viaf.org/viaf/sourceID/LC%7Cn++82079177#skos:Concept
http://id.loc.gov/authorities/names/n2008021697,Cashiers (CA-shers),NCG02694,,http://id.worldcat.org/fast/1874762,http://viaf.org/viaf/sourceID/LC%7Cn+2008021697#skos:Concept
http://id.loc.gov/authorities/names/no2015011489,Sapphire,NCG13403,,,http://viaf.org/viaf/sourceID/LC%7Cno2015011489#skos:Concept
http://id.loc.gov/authorities/names/n2002029392,Fontana Village,NCG05377,,http://id.worldcat.org/fast/1296857,http://viaf.org/viaf/sourceID/LC%7Cn+2002029392#skos:Concept
http://id.loc.gov/authorities/names/n81104361,Sharpsburg,NCG13682,http://www.wikidata.org/entity/Q2026787,http://id.worldcat.org/fast/1215322,http://viaf.org/viaf/sourceID/LC%7Cn++81104361#skos:Concept
http://id.loc.gov/authorities/subjects/sh86000801,Bald Head,NCG00535,,http://id.worldcat.org/fast/1244258,
http://id.loc.gov/authorities/names/n78022933,Manteo,NCG09550,,http://id.worldcat.org/fast/1203401,http://viaf.org/viaf/sourceID/LC%7Cn++78022933#skos:Concept
